"route","title","word_count","canonical","robots","internal_links","external_links","classification","recommendation"
"mos/0689.html","0689 Communications Chief Civilian Careers | VeteranCareerPath","3182","https://veterancareerpath.com/mos/0689.html","","408","18","mos_reference","keep"
"mos/0800.html","0800 Basic Field Artillery Marine Careers | VeteranCareerPath","3125","https://veterancareerpath.com/mos/0800.html","","408","15","mos_reference","keep"
"mos/0811.html","0811 Field Artillery Cannoneer Careers | VeteranCareerPath","3114","https://veterancareerpath.com/mos/0811.html","","408","15","mos_reference","keep"
"mos/0842.html","0842 Field Artillery Radar Operator Careers | VeteranCareerPath","3125","https://veterancareerpath.com/mos/0842.html","","408","15","mos_reference","keep"
"mos/0844.html","0844 Field Artillery Fire Control Careers | VeteranCareerPath","3135","https://veterancareerpath.com/mos/0844.html","","408","15","mos_reference","keep"
"mos/0847.html","0847 Artillery Meteorological Man Careers | VeteranCareerPath","3114","https://veterancareerpath.com/mos/0847.html","","408","15","mos_reference","keep"
"mos/0861.html","0861 Fire Support Marine Civilian Careers | VeteranCareerPath","3115","https://veterancareerpath.com/mos/0861.html","","408","15","mos_reference","keep"
"mos/0871.html","0871 Field Artillery Sensor Support Marine | VeteranCareerPath","3135","https://veterancareerpath.com/mos/0871.html","","408","15","mos_reference","keep"
"mos/0911.html","0911 Drill Instructor Civilian Careers | VeteranCareerPath","3028","https://veterancareerpath.com/mos/0911.html","","408","8","mos_reference","keep"
"mos/0913.html","0913 Senior Drill Instructor Civilian Careers | VeteranCareerPath","3039","https://veterancareerpath.com/mos/0913.html","","408","8","mos_reference","keep"
"mos/1100.html","1100 Utilities Marine Civilian Careers | VeteranCareerPath","3242","https://veterancareerpath.com/mos/1100.html","","408","16","mos_reference","keep"
"mos/1141.html","1141 Electrician Civilian Careers | USMC MOS to Civilian Jobs","3235","https://veterancareerpath.com/mos/1141.html","","408","16","mos_reference","keep"
"mos/1142.html","1142 Electrical Equipment Repairer Careers | VeteranCareerPath","3252","https://veterancareerpath.com/mos/1142.html","","408","16","mos_reference","keep"
"mos/1161.html","1161 Refrigeration Mechanic Civilian Careers | VeteranCareerPath","3242","https://veterancareerpath.com/mos/1161.html","","408","16","mos_reference","keep"
"mos/11a.html","11A Infantry Officer Civilian Careers | Army MOS to Civilian Jobs","3406","https://veterancareerpath.com/mos/11a.html","","409","19","mos_reference","keep"
"mos/11b.html","11B Infantryman Civilian Careers | Army MOS Transition Guide","2902","https://veterancareerpath.com/mos/11b.html","","405","13","mos_reference","keep"
"mos/11c.html","11C Indirect Fire Infantryman Careers | VeteranCareerPath","3380","https://veterancareerpath.com/mos/11c.html","","408","19","mos_reference","keep"
"mos/11z.html","11Z Infantry Senior Sergeant Civilian Careers | VeteranCareerPath","3381","https://veterancareerpath.com/mos/11z.html","","408","19","mos_reference","keep"
"mos/12a.html","12A Engineer Officer Civilian Careers | Army MOS to Civilian Jobs","3234","https://veterancareerpath.com/mos/12a.html","","408","16","mos_reference","keep"
"mos/12b.html","12B Combat Engineer Civilian Careers | Army MOS Transition Guide","2990","https://veterancareerpath.com/mos/12b.html","","405","13","mos_reference","keep"
"mos/12c.html","12C Bridge Crewmember Civilian Careers | VeteranCareerPath","3230","https://veterancareerpath.com/mos/12c.html","","408","16","mos_reference","keep"
"mos/12d.html","12D Diver Civilian Careers | Army MOS to Civilian Jobs","3224","https://veterancareerpath.com/mos/12d.html","","408","16","mos_reference","keep"
"mos/12g.html","12G Quarrying Specialist Civilian Careers | VeteranCareerPath","3230","https://veterancareerpath.com/mos/12g.html","","408","16","mos_reference","keep"
"mos/12h.html","12H Construction Engineering Careers | VeteranCareerPath","3239","https://veterancareerpath.com/mos/12h.html","","408","16","mos_reference","keep"
"mos/12k.html","12K Plumber Civilian Careers | Army MOS to Civilian Jobs","3223","https://veterancareerpath.com/mos/12k.html","","408","16","mos_reference","keep"
"mos/12m.html","12M Firefighter Civilian Careers | Army MOS to Civilian Jobs","3223","https://veterancareerpath.com/mos/12m.html","","408","16","mos_reference","keep"
"mos/12n.html","12N Horizontal Construction Engineer Careers | VeteranCareerPath","3240","https://veterancareerpath.com/mos/12n.html","","408","16","mos_reference","keep"
"mos/12p.html","12P Prime Power Production Specialist Careers | VeteranCareerPath","3251","https://veterancareerpath.com/mos/12p.html","","408","16","mos_reference","keep"
"mos/12q.html","12Q Transmission and Distribution Specialist | VeteranCareerPath","3250","https://veterancareerpath.com/mos/12q.html","","408","16","mos_reference","keep"
